"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","wait commands - examples","0","0","","0"
"0","","0","advanced element interactions - examples","5","0","","0"
"0","","0","Description of Test Suite","0","1","","0"
"0","","0","locating elements","2","0","","0"
"1","","0","webdriveruniversity - contact us page","1","0","","0"
"0","","0","async vs sync - webdriverio","1","0","","0"
